disk,duration
/dev/sdb,1008
/dev/sdb,1676
/dev/sdc,1505
/dev/sdc,4115
/dev/sdd,999
/dev/sdd,1479
/dev/sde,1000
/dev/sde,1514
/dev/sdf,993
/dev/sdf,2918
/dev/sdg,1542
/dev/sdg,2460
/dev/sdb,1577
/dev/sdb,1471
/dev/sdc,3711
/dev/sde,3365
/dev/sdf,1759
/dev/sdf,1500
/dev/sdg,1676
/dev/sdg,1577
/dev/sdd,4353
/dev/sdd,4353
/dev/sdd,3585
/dev/sdd,1474
/dev/sdd,1482
/dev/sdd,3782
/dev/sdc,1483
/dev/sdc,2538
/dev/sdc,1475
/dev/sdc,1503
/dev/sdc,1001
/dev/sdc,1999
/dev/sdc,1503
/dev/sdb,2620
/dev/sdb,2306
/dev/sdb,1729
/dev/sdb,5637
/dev/sde,2411
/dev/sde,1504
/dev/sdf,1015
/dev/sdf,1034
/dev/sdf,1073
/dev/sdf,1442
/dev/sdf,4792
/dev/sdf,3005
/dev/sdg,1534
/dev/sdg,1488
/dev/sdg,1465
/dev/sdg,3702
/dev/sdg,1034
/dev/sdg,3548
/dev/sdb,1641
/dev/sdb,1024
/dev/sdb,1507
/dev/sdc,1617
/dev/sdc,1032
/dev/sdd,1474
/dev/sdd,1479
/dev/sde,5769
/dev/sdf,995
/dev/sdf,1013
/dev/sdf,1676
/dev/sdg,990
/dev/sdg,1028
/dev/sdg,1481
